BEAM - szerokość całkowita,DWT - nośność statku,GT - pojemność statku brutto,LOA - długość statku,Nazwa statku,NT - pojemność statku netto,Maksymalne zanurzenie letnie,Numer IMO,Numer MMSI,Sygnał wywoławczy,Typ statku
14,6000,3990,110.78,NORDFJORD,2214,6.09,9341732,246512000,PHFB,General Cargo Ship
44.04,109999,65145,250,DF MONTMARTRE,34177,14.9,9941714,636021310,5LDI3,Crude/Oil Products Tanker
12.8,3746,2452,87.9,HELEN ANNA,1369,5.59,9582867,305639000,V2FD3,General Cargo Ship
17.55,8915,5285,113.59,ARAL,2687,7.86,8125454,248693000,9HOE6,Chemical/Products Tanker
44.03,116337,62884,249.9,SEA HYMN,35565,15.02,9412036,538010456,V7A6068,Crude Oil Tanker
12.9,3650,2452,87.84,HELEN ANNA,1369,5.51,9582867,305639000,V2FD3,General Cargo Ship
14.34,3297,1896,77.53,ZAPADNYY,990,5.34,8711837,312786000,V3MT6,Molasses Tanker
44.04,109999,65145,250,DF MONTMARTRE,34177,14.9,9941714,636021310,5LDI3,Crude/Oil Products Tanker
14.5,6050,4255,114.4,AMBER STAR,2341,6.04,9534286,305641000,V2FD5,General Cargo Ship
13.8,4555,3170,98.9,SWE-TRADER,1876,5.74,9194074,212179000,5BWR3,General Cargo Ship
12.4,2953,2080,88.95,MAESTRO,1168,4.34,9214006,304196000,V2QS9,General Cargo Ship
18.95,12252,9524,142.12,MOLENGRACHT,4402,8.7,9571533,246770000,PCJG,General Cargo Ship
22,,974,50,KURT,,,,,DJ4427,
14.5,6050,4255,114.4,AMBER STAR,2341,6.04,9534286,305641000,V2FD5,General Cargo Ship
18.9,10744,7260,128.85,MANAS,3652,7.98,9447055,249498000,9HTU9,Chemical/Products Tanker
32.29,53473,31117,189.99,DORA,18159,12.5,9387360,538011293,V7A6917,Bulk Carrier
13.43,5233,3500,99.48,ROCAMAR,1500,6.16,9552056,253383000,LXRQ,General Cargo Ship
28.54,38056,24055,190,POLESIE,12162,10.4,9488097,311018000,C6XP3,Bulk Carrier
16.51,8227,6310,128.95,MILA,0,7,9501681,305836000,V2FX5,General Cargo Ship
12.4,2953,2080,88.95,MAESTRO,1168,4.34,9214006,304196000,V2QS9,General Cargo Ship
25.3,23660,18321,185.4,SUOMIGRACHT,7647,10.59,9288057,246100000,PHBT,General Cargo Ship
24,10168,4598,112.1,VISTA,1379,5.59,8884244,209000000,,"General Cargo Barge, non propelled"
12.5,3171,2316,89.99,HENRIKE,1295,4.64,9218222,218858000,DMLS,General Cargo Ship
13.03,3582,2416,84.95,GT AURIGA,1022,5.44,9041318,304010285,V2PY2,General Cargo Ship
10.3,,,58.5,ORP Kormoran,,2.7,,,,
16.07,8044,5887,128.45,VERTOM MERIDIAAN,2558,6.8,9385881,246180000,PCBO,General Cargo Ship
30.04,34111,22400,180.4,ARIETTA,12118,9.9,9545065,256672000,9HA2902,Bulk Carrier
13.4,3789,2780,89.25,DELFIN,1587,5.67,9173161,275510000,YLRA,General Cargo Ship
14.18,3677,1990,88.15,PLATO,1271,5.27,8822636,314189000,8PRX,General Cargo Ship
23.2,19983.4,13097,149.95,Kitikmeot W.,6370,9.86,9421219,316037373,CFA3304,Chemical/Products Tanker
9.6,216,309,30,Raduga Poseidon,92,4.34,9741229,,CRXF,Tug
22,8085,3620,98,Quanta,1086,4.89,,,.,
17.32,8534,6296,119.9,SELVAAGSUND,3411,7,9956862,257935400,LAPX8,General Cargo Ship
13.4,3789,2780,89.25,DELFIN,1587,5.67,9173161,275510000,YLRA,General Cargo Ship
12.9,3675,2446,87.97,RIX AMBER,1369,5.5,9171101,212900000,5BKQ4,General Cargo Ship
14.3,438.3,635,33.3,Svitzer Thor,190,5.7,9548366,219015425,OWDJ2,Tug
42.03,109295,58918,247.24,BUTTERFLY A,34917,15.05,9249130,636022384,5LIN4,Shuttle Tanker
25.2,7750,23498,147.93,THAMES HIGHWAY,7050,7.9,9316294,311996000,C6UR4,Vehicles Carrier
42.03,104074,57164,228.6,LANCING,30573,14.64,,311000766,C6DR9,
17.43,4980,5036,99.9,JAGUAR,1511,7.06,9578024,566679000,9V9996,LPG Tanker
16.6,4798,4086,100.55,EFES,2016,6.4,9197686,370417000,3FWF3,General Cargo Ship
12.3,2913,2086,88.35,MARTENITSA,1049,4.41,9138733,377591000,J8B6205,General Cargo Ship
51.06,176818,169423,397.56,APL LION CITY,76852,16,9631967,566880000,S6LT6,Container Ship (Fully Cellular)
51,176727,169423,397.88,APL LION CITY,76852,16,9631967,,S6LT6,Container Ship (Fully Cellular)
12.8,3695,2446,87.9,WILSON TEES,1369,5.5,9150535,314554000,8PBC3,General Cargo Ship
25.03,7487,23498,147.93,DANUBE HIGHWAY,7050,7.9,9316309,308803000,C6VH4,Vehicles Carrier
11.45,2600,1862,87.27,EEMS SUN,920,4.26,9431587,245070000,PHMO,General Cargo Ship
25.262,17884,14859,161.5,BBC RAISE,6300,8.6,9538880,,,General Cargo Ship
20.2,7530,7002,119.79,BBC AFRICA,3375,7.59,9362621,304881000,V2BO7,General Cargo Ship
29.6,31032,32245,204.2,CMA CGM ERMITAGE,9673,10,9961295,256800000,9HA5978,Container Ship (Fully Cellular)
15.2,5345,3610,100.71,LUCA,1783,6.01,9286712,304408000,V2QX7,General Cargo Ship
23.04,16631,12105,144.18,BRO NUUK,5056,8.4,9323819,220502000,OXHP2,Chemical/Products Tanker
23.5,14220,12514,157.93,SVENDBORG,5387,8.6,9454230,255805594,CQHS,Container Ship (Fully Cellular)
43.83,112459,62172,250,ASPEN,35364,15.1,9818058,636023947,5LQF3,Crude Oil Tanker
15.2,4270,2981,89.95,WILSON HORTEN,1505,5.64,9119579,314628000,8PBK3,General Cargo Ship
13.35,3700,2544,88,LADY AMI,1216,4.91,9624861,244850116,PCZT,General Cargo Ship
14.4,5750,3870,106.12,AMBER SKY,2132,6.14,9312688,255806387,CQEH8,General Cargo Ship
32.3,55437,31617,190,DIAMOND SEA,18781,12.74,9468152,256638000,9HA2897,Bulk Carrier
30.04,34914,21502,179.97,MAAS CONFIDENCE,11191,9.82,9713210,255806167,CQAG5,Bulk Carrier
14.8,3811,3430,87.5,CGAS MONARCH,1029,6.5,9356919,255802950,CQOU,LPG Tanker
15.87,11048,6626,132.5,LAUNKALNE,3448,7.85,9504114,210388000,5BYP5,General Cargo Ship
11.38,1737,1360,69.95,ALICE,635,4.27,8124474,265069550,SBHF,General Cargo Ship
23.5,14233,12514,157.94,NORDIC ISTRIA,5387,8.6,9474383,255806452,CQEP9,Container Ship (Fully Cellular)
48.04,158167,81349,274,SEAVISION,52056,17.17,9790971,248547000,9HA4700,Crude Oil Tanker
22.8,10466,9820,141.8,PACIFIC MERMAID,3538,8.81,9045924,636019354,A8JJ5,Refrigerated Cargo Ship
30.006,38613.8,25431,179.99,ERNA OLDENDORFF,12599,10.5,9717670,255806501,CQEW2,General Cargo Ship (Open Hatch)
12.8,3783,2452,87.82,WILSON DAVANGER,1369,5.59,9390111,314618000,8PBJ2,General Cargo Ship
11,2650,1862,87,EEMS SOLAR,920,,9559614,246367000,P.B.T.J.,General Cargo Ship
27.04,28494,17431,170,SEA MOON,9829,9.77,9228227,,D5GD8,Bulk Carrier
44.04,112459,63532,249,JATULI,33498,15.12,9892444,230688000,OJTF,Crude Oil Tanker
19,4243,4023,90.9,GEOQUIP ELENA,1311,6.1,9249439,,YJVL7,Offshore Support Vessel
32.29,53840,32661,190.02,WARISA NAREE,18210,12.63,9343417,567105000,HSRW,Bulk Carrier
16.5,4450,4610,102.49,EYSTNES,1675,6.15,7922166,231774000,OZ2101,Ro-Ro Cargo Ship
13.44,4114,2862,94.7,KATARIINA,1295,5.3,9467213,305211000,V2QZ9,General Cargo Ship
14,5756,3442,98.8,FRI BERGEN,1903,6.12,9361122,212816000,5BTW6,General Cargo Ship
6.74,0,205,33,APHRODITE I,62,3.14,5353426,375282000,J8DI7,Standby Safety Vessel
43,51960,37820,216.7,RED ZED I,11346,10,9633977,636016990,D5IU2,"Heavy Load Carrier, semi submersible"
42.03,106045,57462,240.5,SOUSTA,31896,14.88,9384992,538009869,V7A5272,Crude Oil Tanker
17,8326,6118,123.04,WILSON NEWCASTLE,2966,7.4,9431006,259016000,LAMV8,General Cargo Ship
17,8326,6118,123.04,WILSON NEWCASTLE,2966,7.4,9431006,259016000,LAMV8,General Cargo Ship
24.43,13930,13049,158.13,SWEDISH STREAM,5353,10.02,9030149,308126000,C6KD4,Refrigerated Cargo Ship
20,1250,7854,107.6,POURQUOI PAS?,2356,6.925,9285548,228207600,FMCY,Research Survey Vessel
23.54,14717,11746,157.6,MUNKSUND,5839,8.6,9429223,636020532,D5ZQ2,Container Ship (Fully Cellular)
36,21275,15840,156,KANG SHENG KOU,4752,7.4,9223289,412055000,BOKF,"Heavy Load Carrier, semi submersible"
42.04,105365,55909,228.6,SAKURA PRINCESS,29810,14.78,9358541,636015526,D5BI8,Crude Oil Tanker
21.6,15210,12819,142.54,DELTAGAS,3846,9.49,9540003,229399000,9HA3302,LPG Tanker
12.5,2953,2080,88.95,MAESTRO,1168,4.34,9214006,304196000,V2QS9,General Cargo Ship
12.5,2620,1985,82.51,WANHEIM,969,4.47,8920268,636017466,D5LC2,General Cargo Ship
24.5,18457,14072,154.52,FREDERIK,5525,9.5,9328637,304374000,V2HB4,Container Ship (Fully Cellular)
12.65,3809,2518,89.75,BALTIC FIN,0,5.485,9953925,210543000,5BDC6,General Cargo Ship
14.55,4258,2995,88.47,WILSON FLEX V,1563,5.7,9911472,255806462,CQER3,General Cargo Ship
13.03,4023,2469,85.65,ELENORA,1272,5.71,9184421,255924000,CQWD,General Cargo Ship
11.4,343,499,40,RADUGA ALTAIR,149,4.4,9338773,210561000,5BDQ6,Tug
12,343,499,40,RADUGA ALTAIR,149,4.4,9338773,210561000,5BDQ6,Tug
14.5,6050,4255,114.4,AMBER STAR,2341,6.04,9534286,305641000,V2FD5,General Cargo Ship
28,30130,19999,178,DEVBULK ALARA,10351,9.81,9449895,538004443,V7XB9,General Cargo Ship (Open Hatch)
